Altium Designer Pick and Place Locations
D:\onedrive\OneDrive - TBZ\E_Projekte\christmas2020\pcb\c2020\PCB Project Outputs\Pick Place\Pick Place for c2020_pcb.txt

========================================================================================================================
File Design Information:

Date:       11.12.20
Time:       11:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                                     Layer       Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                            
U4         TL3305AF260QG                               TopLayer    SW_TL3305AF260QG                 88.2500      41.9660      270      "Tactile Switch SPST-NO Top Actuated Surface Mount"                                                                                    
U1         AZ1117EH-3.3TRG1                            TopLayer    SOT230P700X180-4N                164.2500     43.4660      90       "Linear Voltage Regulator IC 1 Output 1A SOT-223"                                                                                      
T1         "BJT NPN"                                   TopLayer    SOT23-N                          150.5000     39.7160      360      "NPN Bipolar Transistor"                                                                                                               
R5         15k                                         TopLayer    RES_0402i_1005m_-N               108.7500     47.6660      0        Resistor                                                                                                                               
R4         200k                                        TopLayer    RES_0402i_1005m_-N               143.5000     40.9660      270      Resistor                                                                                                                               
R3         1.5k                                        TopLayer    RES_0402i_1005m_-N               147.2500     38.4660      360      Resistor                                                                                                                               
R2         3k                                          TopLayer    RES_0402i_1005m_-N               144.5000     40.9660      270      Resistor                                                                                                                               
R1         3k                                          TopLayer    RES_0402i_1005m_-N               151.7500     44.9660      270      Resistor                                                                                                                               
J1         10118194-0001LF                             TopLayer    AMPHENOL_10118194-0001LF         180.1500     42.4660      90       "USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"                                       
D13        156120M173000                               BottomLayer LED_156120M173000                129.4500     157.7660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D12        156120M173000                               BottomLayer LED_156120M173000                119.8500     134.7660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D11        156120M173000                               BottomLayer LED_156120M173000                112.3500     115.6660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D10        156120M173000                               BottomLayer LED_156120M173000                106.1500     98.1660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D9         156120M173000                               BottomLayer LED_156120M173000                114.4000     72.2660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D8         156120M173000                               BottomLayer LED_156120M173000                93.2500      77.3660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D6         156120M173000                               BottomLayer LED_156120M173000                139.1000     134.6660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D5         156120M173000                               BottomLayer LED_156120M173000                148.2000     114.5660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D4         156120M173000                               BottomLayer LED_156120M173000                130.9000     102.1660     180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D3         156120M173000                               BottomLayer LED_156120M173000                155.9500     94.1660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D2         156120M173000                               BottomLayer LED_156120M173000                136.4500     78.0660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
D1         156120M173000                               BottomLayer LED_156120M173000                164.2000     75.6660      180      "Red, Green, Blue (RGB) 624nm Red, 525nm Green, 470nm Blue LED Indication - Discrete 2V Red, 3.3V Green, 3.3V Blue 1206 (3216 Metric)" 
C7         100nF                                       TopLayer    CAP_0402i_1005m_-N               91.3000      38.6660      360      capacitor                                                                                                                              
C6         100nF                                       TopLayer    CAP_0402i_1005m_-N               151.7500     42.4660      90       capacitor                                                                                                                              
C5         1uF                                         TopLayer    CAP_0603i_1608m_-N               106.0750     46.7660      90       capacitor                                                                                                                              
C4         100nF                                       TopLayer    CAP_0402i_1005m_-N               112.2500     47.2160      180      capacitor                                                                                                                              
C3         1uF                                         TopLayer    CAP_0603i_1608m_-N               163.0500     38.4410      0        capacitor                                                                                                                              
C2         1uF                                         TopLayer    CAP_0603i_1608m_-N               166.1250     38.4660      0        capacitor                                                                                                                              
C1         1uF                                         TopLayer    CAP_0603i_1608m_-N               175.7500     41.9660      270      capacitor                                                                                                                              
U2         LP5036RJVR                                  TopLayer    RJV0046A                         110.6520     42.7410      0        "No Description Available"                                                                                                             
P2         "Tag-Connect TC2050-IDC-NL-No pin assigned" BottomLayer TAG-CONNECT_TC2050-IDC-NL_10-Pin 147.3650     44.9860      90       "10-pin pogo pin programing port"                                                                                                      
U3         STM32L011D4P6TR                             TopLayer    TSSOP14                          147.3290     44.8662      0        "No Description Available"                                                                                                             
P4         RCO_TESTPIN                                 BottomLayer Pad_0603                         150.0000     48.4660      180      "Single Pad or Testpoint"                                                                                                              
P3         RCO_TESTPIN_1                               BottomLayer Pad_0603                         151.5000     48.4660      180      "Single Pad or Testpoint"                                                                                                              
P1         I2C_TESTPIN                                 TopLayer    HDR1X2                           140.2800     35.8660      360      "Header, 2-Pin"                                                                                                                        
D7         Grün                                        TopLayer    *0603                            144.0000     38.4660      0        "LED; SMD; 0603; grün; 35mcd; 1.6x0.8x0.55mm; 130Â°; 2Ã·2.V; 20mA"                                                                     
